\,no_vehicle_avail_%,exp_perpupil_USD,debt_pervaluation_%,homeless_Shelters_per_1000,median_owner_home_USD,median_sale_homes_USD,unemployment_rate,race_Wh_%,race_Afam_%,race_Alaska_%,race_Asian_%,race_Hawaii_%,race_Two_%,emp_computer_%,emp_legal_%,emp_healthcare_%,emp_healthsupport_%,emp_protective_%,emp_foodprepare_%,emp_clean_%,emp_personalcare_%,emp_sales_%,emp_admin_%,emp_farm_%,emp_construct_%,emp_repair_%,emp_production_%,emp_transport_%,emp_material_%,occ_1.01to1.5_%,occ_1.51to2.0_%,occ_gt2.01_%,moved_lastyear_%,age_lt18_%,house_2000to2014_%,house_income_gt30_USD_%,median_earnings_retail_USD,gross_rent_%,comm_car_%,comm_carpool_%,comm_bus_%,comm_walk_%,comm_cycle_%,comm_taxi_%,comm_wfh_%,gini_index,exemplary_%,proficient_%,need_improve_%,unsatis_%,dropout_%,college_%,property_val_USD,tobbaco_retailers_2019_%,licensed_nurses_per1000,preschool_%,health_insurance_coverage_%,public_school_%,private_school_%,dentists_per1000,young_females_%,median_age,lt5years_%,pcp_per1000,psychiatrist_per1000,psychologist_per1000,pharmacist_per1000,population_density,rural_population_%,costas%income_wmgage_lt20%_%,costas%income_wmgage_20to25%_%,costas%income_wmgage_25to30%_%,costas%income_wmgage_30to35%_%,costas%income_wmgage_gt35%_%,costas%income_womgage_lt10%_%,costas%income_womgage_10to15%_%,costas%income_womgage_15to20%_%,costas%income_womgage_20to25%_%,costas%income_womgage_25to30%_%,costas%income_womgage_30to35%_%,costas%income_womgage_gt35%_%,avg_ela,avg_math,students_disabilities_%,student_teacher_ratio,print_media_circ_%,libraries_%,crimes_against_society_%,emp_pop_ratio_hisp,less_than_highschool_%,vacant_rentals_%
no_vehicle_avail_%,0.0,0.000960192336378039,0.0016322932353679668,1.9454266808539718e-11,0.9124612507841378,0.3590036004800624,0.0005435781456088523,1.5713364447178018e-15,6.424233948317767e-16,0.7874697232614623,3.8015172670507465e-08,0.010139789783546732,8.00178857951656e-20,0.790577372196144,0.3311420042454043,0.0003000746428662324,0.0075344331467287985,0.12410236154487335,6.093414198012016e-06,5.227133124551093e-05,0.11336900781918939,0.001600161257149421,0.2810415965193971,0.09611082035997778,0.38863694426497053,0.0007401349415438584,0.3399723630475451,0.09673027295464515,0.0002461246627730293,1.0577349732931025e-14,1.069277048404366e-18,0.19509428432247936,3.234404033056293e-16,0.002204981379512496,1.2102701264344618e-05,1.6368871744474597e-09,0.02968579287360137,0.13220620826736298,1.360880146677703e-38,1.4857057660372887e-05,1.3449695176051748e-35,8.704488397886649e-28,6.3415644673888445e-24,5.708989263010949e-07,0.02561496683201544,2.324424775517856e-11,0.1632470230188754,0.7683064725699787,0.4389206526507504,0.7981744296921331,1.3564458615849924e-07,3.701325230154695e-05,0.3338097791945751,0.7313136096838624,0.08412515589010618,0.09224361565789906,1.156836126695827e-10,0.0160305484869235,3.793491105976341e-07,0.1182761239526227,1.1023674424072507e-14,5.862196708526769e-13,0.00013390134566978388,0.0001855576127025245,0.000808223679002825,0.06651283239331625,3.673159345585314e-05,1.2139185728052148e-66,0.0008895259727521311,5.096628861055988e-05,0.06369300235715884,0.6068021872574025,0.06381584776931817,4.825043161335843e-05,0.585705681753905,0.00872381285473115,0.6610581725134541,0.08557164205943231,0.9675181641168248,0.4855572020745895,0.014218464279905352,0.19384705909128488,0.6502647446074121,0.055817199977039184,0.7038040276826127,0.5412908753269292,0.031001350450821943,0.12061640046040167,0.6525917910093058,7.514164683450996e-19,4.667132802345587e-14
exp_perpupil_USD,0.000960192336378039,0.0,0.2174922720082211,0.4327464009266784,2.611163542436079e-26,4.1050335663867497e-16,0.17011891755337627,0.33466581559047026,0.20756240594926614,6.6251847676188685e-06,0.004406863720247365,0.901590057432427,0.0021797367052305908,0.17058969178030856,1.05161811575572e-07,0.3055878219927655,0.0015067558913938542,0.4417197794527359,0.95030408745158,0.031922892861494585,0.12510673436063696,0.37428438487745486,1.696060136170403e-05,2.7447741822072533e-05,0.29057310292156324,5.518583306370468e-07,9.027983861208836e-06,0.004571206080969362,0.012198104000309781,0.037889064573630095,0.1970700544866312,0.011887203120343894,0.03294406626257104,0.0008334327001679844,0.3293099737702281,0.1376744069542428,0.7757265336959567,0.004720784456705637,2.5867800091129273e-19,0.12467040372570787,0.0011418919217918138,7.401854222607815e-13,9.71718187488926e-18,0.0037836587858139773,1.571137577780445e-12,7.084646730813109e-16,0.7132558928821442,0.7169702903617954,0.4835252778984236,0.6749392472532891,0.021407111635611244,0.9090715401414153,0.6828578166228241,0.34240411982145447,0.4759527546866362,0.503528682149992,0.40198166372703303,4.6342394574444635e-05,6.921255421534961e-05,0.17336557303021677,0.15398972559091137,0.001236524977563112,2.6538548906619823e-06,0.021552487800364614,0.02528883995192698,1.3184437760306263e-06,0.17787296424768348,0.1505730169713552,0.09681453463870808,0.0010838710027860827,2.1620133777860293e-07,0.156949486475747,0.9257299278155051,7.338274090442576e-13,0.1458620181779257,0.004832181760008695,0.016178251605168156,0.058099517210349484,0.6366185345849,0.9038450543192489,0.00011223349007993233,0.41997552868801646,0.5327776184448416,0.2076697085834491,8.971445196008593e-11,0.11953421383805184,0.2887787806924891,0.23603010929811954,0.01464043796239316,0.05309143298461024,0.7309852739737648
debt_pervaluation_%,0.0016322932353679668,0.2174922720082211,0.0,0.04993023637005916,0.4115320883986343,0.8688484047210212,0.00017276069126941583,3.585157420496763e-07,0.0005361920661791478,0.866535550914419,0.010260346244453888,0.3023830860947316,0.892403354275801,0.9107617978484244,0.023088242962721526,0.9227531219381154,0.07393587286287977,0.2826465409492912,0.002082370302030075,0.48803970632555593,0.6782575864528452,0.663212627254157,0.06607364142080892,0.023638732832492994,0.003337586735413317,0.14777432340420224,0.27869532503010286,0.5631192005188426,0.05011147487019781,0.01507879806794911,0.054988348555999746,0.1409140031999746,0.012263563158815617,0.016162309664716403,0.008068673977173303,0.0026259800505594602,0.6652628149581765,0.6209025531294161,0.8943630776711345,0.007935123041004744,0.409170791783256,0.2515603836522794,0.9801690980736745,0.02434972604848907,0.004838359565791154,0.07801632842363686,0.8807132551058853,0.8750237248740012,0.4396507847775719,0.7779221636930016,0.10174313633635472,0.019702180337114975,0.19469932750298727,0.10792205275246872,0.0021123136018575198,0.4241461039362949,0.24010555597109623,0.05351611948718572,0.29201414922442986,0.2744593877834423,0.8917901615455771,0.00013135867485178455,0.00013845368383213116,0.002387529934450702,0.6302282644404664,0.8852953694004829,4.5164280356985215e-08,0.00025320461866622755,2.1794191717381685e-08,0.17792529607739024,0.16586321454707403,0.633199783814973,0.7527376677470282,0.8826737714628633,0.0516626608396537,0.6942759371804357,0.8324365553036384,0.5851599663718134,0.43809033748128434,0.436050113804221,0.012922684904061772,0.33792196882015857,0.6673388605477428,0.8826826795541786,0.03615239298187663,0.8085732876455336,0.003703339378549622,0.07728671484681834,0.516644894312271,9.297642724451683e-06,0.08439703529672336
homeless_Shelters_per_1000,1.9454266808539718e-11,0.4327464009266784,0.04993023637005916,0.0,0.959907664091581,0.5755512130069798,0.00011021794265654143,2.710779148106356e-05,9.743080782790964e-12,0.8116644852616838,0.026135045515058665,0.8346622871316863,0.014548749616722928,0.8247239126416364,0.9474486696615222,0.07497896299603159,0.0086163921775694,0.8201695527231291,0.0035690932068589104,0.30811991850833975,0.06768024213121394,0.5262328702434733,0.3408852473392351,0.1265175635092122,0.16350892305124215,0.09020822209052512,0.8530263742869537,0.965885812531335,0.09361990795861443,0.030522719964104713,0.01051873312070229,0.19769962699315627,1.94759693215385e-06,0.9466968606241621,0.0012357380802187237,0.003813039501463153,0.38268179597516283,0.48114084140743985,0.00020698022561208723,0.12591849542611935,0.00013364981352401547,0.0012075158940335667,0.01124101287685638,0.018091666001781796,0.25759551744257225,0.003003133122684211,0.45139768092646604,0.7321116626196797,0.05254004411530454,0.0054802099341253,0.0032374869090804497,0.04515939814811314,0.572505217160056,0.5310411164763673,0.012247360210025024,0.11925495285953884,0.00643476248782939,0.5329894346738054,0.020789558413855932,0.12160927756806003,1.7184743418262733e-10,6.277932782829362e-05,0.024861253916021175,4.516909800915659e-07,0.332873351870712,0.26047706221415967,1.0537685841883708e-05,9.797593945272285e-09,0.002571834342440789,0.1391769760632717,0.8540386158988882,0.6641598448385633,0.49264667685294294,0.16358420088840395,0.027723065757286072,0.8057503022398216,0.5404325072416698,0.530024231297038,0.22868661941377455,0.00017508927066752885,0.2535769611384149,0.30716832728091403,0.1972126003272982,0.33173325103873663,0.20123440927702468,0.5515235438577573,0.020118133134699873,0.41654084098630373,0.39177475099140235,5.136142752221085e-05,0.00018014863603324063
median_owner_home_USD,0.9124612507841378,2.611163542436079e-26,0.4115320883986343,0.959907664091581,0.0,2.0482609516365128e-71,2.61350118595964e-10,4.991892886457299e-07,0.4440478273457218,2.7420457119272127e-09,2.3367315869121777e-10,0.9895829124536664,0.11930247021597958,1.6810996971310228e-11,1.2624179169057333e-06,0.7876430381161981,2.0680798603958988e-18,0.00010907320122149046,1.9623302141229949e-07,1.2670810649412777e-06,5.513075302729745e-07,0.8346596185815974,6.600918675144969e-17,0.3766852313919299,1.8377435326083135e-05,1.4944416285588682e-18,5.696090256865481e-28,2.4019941662977853e-17,5.4432654378575124e-11,0.00016407148627231837,0.7559716051711556,0.005223440034421908,0.7339842301220715,5.878222953458288e-10,0.016509334809355146,0.0017073312465474533,0.002880701260552194,0.6154879691287893,1.2717122377602687e-20,2.7248141774549535e-06,7.478066145672387e-13,0.0014531098128387598,2.5924809600032184e-05,0.5495019007315545,3.5440532790072827e-15,4.56083844856293e-18,0.01941119080590139,0.34873965143775,0.3886473064036874,0.981075709812245,0.0008040271748841588,1.5850885146315092e-13,0.0013732406368352666,0.001133446047116475,0.0831969664912339,0.0012724109578091157,1.5728535992484842e-06,0.18024304142572,9.10582820908215e-13,0.00030745477394516786,0.9355548307072081,0.6561503345831607,0.7765854721810193,0.000360895803360061,2.2456496472090916e-05,2.901240484726386e-14,0.1375095949837913,0.1270409318009775,0.0011599083847936415,0.49063347153658965,0.029382411167624627,0.022131232890151186,0.09818951819874343,0.0001465537582408018,0.004158496154691468,0.008978431114190928,8.297383891927422e-05,0.0038649419535431682,0.23315505834580993,0.4956568236154524,6.080461158353477e-07,0.0047094571027811675,0.0002281192080340057,6.782276989531099e-06,0.4365697617090075,0.6381042374886431,0.007104073127969571,0.0005286934244863771,0.48829080892356125,1.7646190057461685e-12,0.8303839318606253
median_sale_homes_USD,0.3590036004800624,4.1050335663867497e-16,0.8688484047210212,0.5755512130069798,2.0482609516365128e-71,0.0,0.000189282445545109,3.0124391372052684e-05,0.6049146692778042,7.200916982988859e-06,8.738691082451342e-08,0.29247485136521834,0.2916468903134607,9.069642657546112e-07,4.674683010544291e-05,0.5998608512995507,2.2623634518754802e-10,0.007763089367830434,0.0022017869725739292,7.452980620633491e-06,0.00022576620118589606,0.5061422838290405,4.750777772491876e-09,0.785140019468529,4.996113607756997e-06,2.399298522311617e-10,2.302480462641081e-17,4.6609448123395274e-11,2.7226783964229918e-08,0.001391830759200992,0.8244366571647974,0.023888618960163154,0.12665289781518002,1.8988110047365164e-06,0.21884052808528048,0.019774381531929015,0.0037779429665141437,0.9668985700002125,5.349861611740374e-16,0.0006210741916437466,4.1882375494883147e-10,0.0002181067153910775,0.00016449310877765486,0.5919189505518736,3.935284104223081e-09,6.276820544209964e-12,0.4367727670554268,0.683659871861318,0.2125307208620645,0.9620449676774664,0.0013238670202382057,6.684167660084129e-07,0.01012574075740152,0.00028580576292210026,0.13272328713575082,0.0046989572080757755,0.00018935943782330086,0.2993039001592404,8.561299468196403e-12,0.014129865785988138,0.8000424047197523,0.7081611002109853,0.8923700800691897,0.0069558825760100106,0.005561137848892488,4.295613793039022e-06,0.07760532680278323,0.041684392050322455,0.00039397478610801403,0.5169993086012545,0.012807092778243198,0.16187475711713065,0.250882899883533,0.001058153233520433,0.006333988263372323,0.13097904956987347,4.898581185319053e-05,0.0026820394068457704,0.543061787541169,0.7619678572736113,0.00032966233070392376,0.04621086828994187,0.0022130006802659565,0.0014398780833230235,0.26186002702221145,0.6993061281310913,0.0030203371366249615,0.004195613019398663,0.8381920938384624,9.188410840945395e-09,0.5746469338784121
unemployment_rate,0.0005435781456088523,0.17011891755337627,0.00017276069126941583,0.00011021794265654143,2.61350118595964e-10,0.000189282445545109,0.0,0.00024155252474943715,2.5962270935454593e-06,0.27248682655187484,0.6158127351263352,0.0034901341924680677,0.02501162453488672,5.284298606437242e-06,5.240716331641877e-07,0.0008773398809969447,4.5728602204031705e-11,0.0008164370665815871,1.5653874336571372e-09,0.020923652611265327,7.85178765788724e-10,0.021314793257283523,4.967691667008285e-07,0.717387495389008,0.09941093491081018,0.0017118730146309365,4.42323677765231e-15,4.4387830405016757e-05,3.7464481854208445e-06,7.860604945345612e-06,0.00022515681390834592,0.011469675528137272,6.594737929799783e-06,0.7188515956656543,0.00032197844572637454,8.607491481788261e-05,0.003474841038720134,0.0021309096517356466,0.08279008624336133,1.6576501721078323e-07,0.36848615256363104,0.03753948972589333,0.8800192645958123,0.013237390998577623,1.1312436791342804e-09,0.8905092510587471,0.8148363752259707,0.9154208728474444,0.8530904805177487,0.8503305163936206,1.5603585620217213e-08,1.1378102392268778e-07,0.7428120681250848,0.022490770342561032,0.011959268119145983,0.313155719436664,3.3344921522135134e-09,0.004773293645046573,0.0808525983077578,0.958956562727403,0.044297643418905484,5.685505083999963e-06,0.08353988223711464,0.5214509324341841,0.03539557234658661,0.00038348164569069673,0.02218110261710294,0.010519636648328294,0.08278319000078321,0.39514707694602635,0.5944869713712275,0.8050030276682794,0.9789123252479005,0.2981615353397355,0.0006116467443722125,0.27892471748979725,0.03716025092584275,0.11669399715144725,0.7833279546980981,0.07441261931854841,0.948367733899359,0.0019381084092343192,0.0002172060805216768,2.8984130638833585e-05,0.07103363371950303,0.6272525169774354,0.004073309911945759,1.83302700318248e-05,0.05590054548004109,1.7809790048094076e-25,0.07233118647114394
race_Wh_%,1.5713364447178018e-15,0.33466581559047026,3.585157420496763e-07,2.710779148106356e-05,4.991892886457299e-07,3.0124391372052684e-05,0.00024155252474943715,0.0,4.301648494174412e-30,5.0514854183144865e-06,3.418785491877229e-38,0.34249659735538374,3.957342370530372e-16,1.1237975365445851e-06,0.0035793173607896397,2.1841193676118538e-07,0.3781544155155392,0.03670353263208562,0.09809531162349468,0.28321734235126717,0.707833271191721,0.027202071636104524,5.93146346596297e-06,0.000203013245628006,1.0093422901633391e-12,3.4597772065033345e-06,0.18576007228949362,0.004770342071445672,0.3776883749423514,1.2564172554145919e-15,8.189815674256864e-09,0.07576960912948061,5.884777591216729e-06,5.274931234080216e-31,0.0016632031679175714,9.315409415940247e-06,0.5891944095142149,0.8404308428499493,9.074233017979359e-07,3.142643642821437e-06,2.4486552292152293e-21,0.09574925101739903,0.07750365906582621,0.0039621531907812774,2.430046408595897e-06,0.0011683532321207666,0.031736667771585084,0.3481151473761924,0.5596007202970674,0.6551055204068936,0.00012243760819436502,0.2810372754761906,0.000559491653314391,0.08511334260583853,0.17835719741365388,0.028111949188427365,0.00041614231160067147,7.64223617584653e-17,8.431149067636657e-10,7.230989887224555e-05,5.571073954502657e-05,3.2399618360788515e-32,2.550544656770722e-21,5.67320587905487e-07,0.17059919996161124,0.15967325686877476,1.8890069005481422e-11,1.4202855555674897e-29,7.604768776089722e-18,0.10003608826008376,0.038118156597499016,0.8521438884090361,0.9429808934499214,0.6026958631095709,0.5503734776077382,0.06901202428852776,0.6247894311603601,0.30139330213165844,0.9275545521576859,0.030624985638873718,0.0031152869723251164,0.22704211719509818,0.3149833867397025,0.7421428733237234,1.6323901837470668e-05,0.6062750611254628,3.111942737618549e-08,0.6475067553102594,0.03581667864117469,1.7041508819496182e-10,2.115016849687008e-12
race_Afam_%,6.424233948317767e-16,0.20756240594926614,0.0005361920661791478,9.743080782790964e-12,0.4440478273457218,0.6049146692778042,2.5962270935454593e-06,4.301648494174412e-30,0.0,0.9839814186327782,2.5551098055694878e-08,0.8474922252306105,2.3566047878960176e-08,0.9498768596497354,0.40371101624620775,0.03204302681847724,1.56901426662385e-08,0.5825618323680093,3.892641849189708e-05,0.032967476574891616,0.0005239861695731424,0.2584480546405279,0.005418528093867545,0.11232138001194915,0.019066927116188674,0.025472737468327063,0.7412663956810706,0.17144492488239638,0.001803617289629719,7.799877818062539e-08,1.4635895169436758e-09,0.35764694968439426,2.337847792129035e-13,0.7474914630655349,0.00015466508857691166,0.0037693226320308507,0.13465706934281163,0.0969916415928153,9.91126712636184e-07,4.405056409269513e-05,7.761817210514917e-13,0.00027266890437284506,0.019817589050802182,0.0029185234036430774,0.0001388092413333874,0.0005744410277373216,0.5675563197866683,0.4425894725026046,0.5787279306899233,0.8932237277654109,2.573498245637071e-06,0.004328109123089097,0.340186547603446,0.7448274047253267,0.06544571240645687,0.1690723994484368,2.951555895862118e-07,0.309291126139779,0.00010214931561573815,0.10225310782773046,3.788530243669209e-10,4.282345796955745e-12,0.00026242311545369377,0.0017507381917870894,0.09588445007814274,0.7896891997225498,3.222938932879771e-08,1.431001742868975e-19,2.7428551844956657e-08,0.00227103108467926,0.590613734478596,0.8002243562324438,0.08569383123993242,0.013281484533316698,0.012824913269862438,0.7740972236720055,0.8569995428802644,0.7426668217509453,0.12196362665744225,0.024147666591940065,0.10402566555490544,0.17373418398210752,0.14082080448591489,0.2224681117087168,0.5720654505999274,0.49633563176122875,0.006219464927553999,0.141792918619615,0.08921201417906915,6.430475727296947e-16,1.3611635565934404e-05
race_Alaska_%,0.7874697232614623,6.6251847676188685e-06,0.866535550914419,0.8116644852616838,2.7420457119272127e-09,7.200916982988859e-06,0.27248682655187484,5.0514854183144865e-06,0.9839814186327782,0.0,0.503650912743125,0.010832957804464914,1.74554601974452e-07,0.07380272937711424,0.3344879490248184,0.008886198405135742,0.6278000645646495,0.8806487381964248,0.006196503663805504,0.0022870859380544556,0.8352129973837149,0.04122016381370599,0.024779492003656423,2.2542354821172566e-06,0.06848144055377944,0.22152711654896698,0.3904141738454683,0.607359321430909,0.7763612896961272,0.46228599052886343,0.7167988944591912,0.7143754617304702,0.3696522588037944,0.00029316287054645,0.04865353917742469,0.1118140649178982,0.15618629683404853,0.21551812401451453,0.12855787659200082,0.2968204264777449,0.6099654598182911,0.03554026141234432,0.9171252788255133,0.8705514563129294,0.41387242265438273,0.014166225266854047,0.001234741423412723,0.9320087628404085,0.18604912838253326,0.08071081778901476,0.002195375693991811,0.022182399032176003,0.5455096950633257,0.6887158487299047,0.3960950316813201,0.06756894648326042,0.03706380062051186,0.3571198158633734,0.4071502548406962,0.6373733766464698,0.81288244769759,0.5013779545067949,0.10169996541095648,0.5043134796170456,0.9761223487054885,0.5522718801886448,0.3164782811647003,0.743189102738453,0.09489930543338344,2.2303869424242976e-06,0.8677242988440279,0.23106917046530642,0.3303814725912867,1.4664250808453562e-05,0.07959420898528438,0.05008391251687701,0.9991329939764754,0.0786281869598495,0.4385728900390097,0.45795861383775605,0.1611727272974599,0.40334232209304643,0.24377954121275922,0.10734138666610334,0.9150970871307834,0.0032112060136039304,0.24739801020088792,0.8355233241007369,0.25239203967198903,0.03176646748425933,0.8191728469552533
